Register Number*,Student Name*,Father Name*,Mother Name*,Gender*,DOB* (dd/mm/yyyy),Admission Date* (dd-mm-yyyy),Student Contact*,Class Name*,Section Name*,Parent Contact*,Password*,Student Address*,Admission Type*,Message Type*,Academic Year*,Admin RTE,Religion,Caste,Social Category,Blood Grp,Mother Tongue,Aadhar No*,Place of Birth*,Village/Town/Taluk/Districtge,Father's Qualification,Mother's Qualification,Father's Occupation,Mother's Occupation,Father's Annual Income,No of Dependents,Guardians Name & Address*,Nationality*,Sub Caste,Any Other Language Spoken,Present Address*,Previous School,Father's Aadhar Card*,Mother's Aadhar Card*,Student Bank A/c No.,IFSC Code,Branch,Bus Facility
st01,Ritu,Mahesh,Divya,FEMALE,25/10/2017,17/10/2021,1234567891,STD - NURSERY,A,1234567891,123456,Delhi,Old,Mobile App,2023-24,No,Hindu,Rajput,General,A+,Hindi,DF45698565,Delhi,"Mayur Vihar, Delhi, East Delhi",Graduate,Graduate,Retired,Home Maker,1200000,5,"Sumitra, Mayur Vihar",Indian,Rajput14,English,Mayur Vihar25,Ryan School,8.57E+11,4.15E+11,8.57E+15,BOB4545,Mayur Vihar,Yes
st02,Nitin,Rohit,Sita,MALE,18/10/2022,18/10/2020,1234567891,STD- J.K.G,A,1234567891,123456,Delhi,Old,Mobile App,2023-24,No,Hindu,Rajput,SC,A+,Hindi,DF45698566,Delhi,"Mayur Vihar, Delhi, East Delhi",Graduate,Graduate,Retired,Home Maker,1200000,5,"Sumitra, Mayur Vihar",Indian,Rajput14,English,Mayur Vihar25,Ryan School,8.57E+11,4.15E+11,8.57E+15,BOB4545,Mayur Vihar,Yes
st03,Rohit,Mohit,Sarla,MALE,18/10/2022,19/11/2020,1234567891,STD -S.K.G,A,1234567891,123456,Delhi,Old,Mobile App,2023-24,No,Islam,Rajput,ST,A+,Hindi,DF45698567,Delhi,"Mayur Vihar, Delhi, East Delhi",Graduate,Graduate,Retired,Home Maker,1200000,5,"Sumitra, Mayur Vihar",Indian,Rajput14,English,Mayur Vihar25,Ryan School,8.57E+11,4.15E+11,8.57E+15,BOB4545,Mayur Vihar,Yes
st04,Ajay,Jagat,Suman,MALE,21/1/2017,13/1/2020,1234567891,STD - 0NE (I),A,1234567891,123456,Delhi,New,Mobile App,2023-24,No,Christian,Rajput,CAT-1,A+,Hindi,DF45698568,Delhi,"Mayur Vihar, Delhi, East Delhi",Graduate,Graduate,Retired,Home Maker,1200000,5,"Sumitra, Mayur Vihar",Indian,Rajput14,English,Mayur Vihar25,Ryan School,8.57E+11,4.15E+11,8.57E+15,BOB4545,Mayur Vihar,Yes
st05,Ajay,Jagat,Suman,MALE,18/10/2022,14/10/2020,1234567891,STD - TWO (II),A,1234567891,123456,Delhi,Mid-Year,Mobile App,2023-24,No,Buddhism,Rajput,2A,A+,Hindi,DF45698568,Delhi,"Mayur Vihar, Delhi, East Delhi",Graduate,Graduate,Retired,Home Maker,1200000,5,"Sumitra, Mayur Vihar",Indian,Rajput14,English,Mayur Vihar25,Ryan School,8.57E+11,4.15E+11,8.57E+15,BOB4545,Mayur Vihar,Yes
st06,Ajay,Jagat,Suman,MALE,18/10/2022,20/8/2020,1234567891,STD - THREE (III),A,1234567891,123456,Delhi,Old,Mobile App,2023-24,No,Parsi,Rajput,2B,A+,Hindi,DF45698568,Delhi,"Mayur Vihar, Delhi, East Delhi",Graduate,Graduate,Retired,Home Maker,1200000,5,"Sumitra, Mayur Vihar",Indian,Rajput14,English,Mayur Vihar25,Ryan School,8.57E+11,4.15E+11,8.57E+15,BOB4545,Mayur Vihar,Yes
st07,Ajay,Jagat,Suman,MALE,18/10/2022,19/12/2020,1234567891,STD -FOUR (IV),A,1234567891,123456,Delhi,Old,Message,2023-24,No,Jain,Rajput,3A,A+,Hindi,DF45698568,Delhi,"Mayur Vihar, Delhi, East Delhi",Graduate,Graduate,Retired,Home Maker,1200000,5,"Sumitra, Mayur Vihar",Indian,Rajput14,English,Mayur Vihar25,Ryan School,8.57E+11,4.15E+11,8.57E+15,BOB4545,Mayur Vihar,Yes
st08,vijay,Jagat,Suman,MALE,18/10/2022,20/1/2020,1234567891,STD -FIVE (V),A,1234567891,123456,Delhi,Old,Message,2023-24,No,Others,Rajput,3B,A+,Hindi,DF45698568,Delhi,"Mayur Vihar, Delhi, East Delhi",Graduate,Graduate,Retired,Home Maker,1200000,5,"Sumitra, Mayur Vihar",Indian,Rajput14,English,Mayur Vihar25,Ryan School,8.57E+11,4.15E+11,8.57E+15,BOB4545,Mayur Vihar,Yes
st09,Ajay,Jagat,Suman,MALE,18/10/2022,18/10/2022,1234567891,STD - SIX (VI),A,1234567891,123456,Delhi,Old,Message,2023-24,No,Others,Rajput,OBC,A+,Hindi,DF45698568,Delhi,"Mayur Vihar, Delhi, East Delhi",Graduate,Graduate,Retired,Home Maker,1200000,5,"Sumitra, Mayur Vihar",Indian,Rajput14,English,Mayur Vihar25,Ryan School,8.57E+11,4.15E+11,8.57E+15,BOB4545,Mayur Vihar,Yes
st10,Ajay,Jagat,Suman,MALE,18/10/2022,16/10/2023,1234567891,STD -SEVEN (VII),A,1234567891,123456,Delhi,Mid-Year,Message,2023-24,No,Others,Rajput,Others,A+,Hindi,DF45698568,Delhi,"Mayur Vihar, Delhi, East Delhi",Graduate,Graduate,Retired,Home Maker,1200000,5,"Sumitra, Mayur Vihar",Indian,Rajput14,English,Mayur Vihar25,Ryan School,8.57E+11,4.15E+11,8.57E+15,BOB4545,Mayur Vihar,Yes
